simulation_ts,exchange,symbol,order_id,client_order_id,side,type,qty,price,realized_pnl,equity
1767657608008000000,OKX,BTC-USDT,1,69da771dG7627539949767622657,BUY,LIMIT,1,93823,0,99999.95
1767657726008000000,OKX,BTC-USDT,2,69da771dG7627539949767622658,BUY,LIMIT,1,93882.5,0,100059.4
1767657857908000000,OKX,BTC-USDT,3,69da771dG7627539949767622659,SELL,LIMIT,1,93887.3,34.55,100069.15
1767657979308000000,OKX,BTC-USDT,4,69da771dG7627539949767622660,SELL,LIMIT,1,93827,-25.75,100008.8
1767658106708000000,OKX,BTC-USDT,5,69da771dG7627539949767622661,BUY,LIMIT,1,93777.6,0,100008.75
1767658231008000000,OKX,BTC-USDT,6,69da771dG7627539949767622662,SELL,LIMIT,1,93782,4.4,100013.2
1767658350808000000,OKX,BTC-USDT,7,69da771dG7627539949767622663,BUY,LIMIT,1,93714.5,0,100013.15
1767658467808000000,OKX,BTC-USDT,8,69da771dG7627539949767622664,SELL,LIMIT,1,93673,-41.5,99971.7
1767658593308000000,OKX,BTC-USDT,9,69da771dG7627539949767622665,BUY,LIMIT,1,93664.9,0,99971.65
1767658716008000000,OKX,BTC-USDT,10,69da771dG7627539949767622666,BUY,LIMIT,1,93668,0,99974.7
1767658857708000000,OKX,BTC-USDT,11,69da771dG7627539949767622667,BUY,LIMIT,1,93716.1,0,100050.45
1767658988508000000,OKX,BTC-USDT,12,69da771dG7627539949767622668,BUY,LIMIT,1,93675.4,0,99942.7
1767659114406000000,OKX,BTC-USDT,13,69da771dG7627539949767622669,SELL,LIMIT,1,93648.9,-32.2,99843.05
1767659239806000000,OKX,BTC-USDT,14,69da771dG7627539949767622670,BUY,LIMIT,1,93702.1,0,99983.9
1767659365306000000,OKX,BTC-USDT,15,69da771dG7627539949767622671,BUY,LIMIT,1,93770.1,0,100274.25
1767659491506000000,OKX,BTC-USDT,16,69da771dG7627539949767622672,SELL,LIMIT,1,93689.1,-14,99869.7
1767659625406000000,OKX,BTC-USDT,17,69da771dG7627539949767622673,SELL,LIMIT,1,93624,-79.1,99609.25
1767659753806000000,OKX,BTC-USDT,18,69da771dG7627539949767622674,BUY,LIMIT,1,93593.7,0,99518
1767659886506000000,OKX,BTC-USDT,19,69da771dG7627539949767622675,SELL,LIMIT,1,93512,-163.75,99222.15
1767660013006000000,OKX,BTC-USDT,20,69da771dG7627539949767622676,BUY,LIMIT,1,93519.9,0,99208.1
1767660144906000000,OKX,BTC-USDT,21,69da771dG7627539949767622677,SELL,LIMIT,1,93510,-126.7875,99175.65
1767660273506000000,OKX,BTC-USDT,22,69da771dG7627539949767622678,BUY,LIMIT,1,93603.8,0,99486.7
1767660405306000000,OKX,BTC-USDT,23,69da771dG7627539949767622679,SELL,LIMIT,1,93540.7,-87.840625,99182.15
1767660545806000000,OKX,BTC-USDT,24,69da771dG7627539949767622680,SELL,LIMIT,1,93605.8,-22.740625,99399.9
1767660671006000000,OKX,BTC-USDT,25,69da771dG7627539949767622681,SELL,LIMIT,1,93698.9,70.359375,99586.05
1767660826506000000,OKX,BTC-USDT,26,69da771dG7627539949767622682,SELL,LIMIT,1,93700.7,72.159375,99587.8
1767660963306000000,OKX,BTC-USDT,27,69da771dG7627539949767622683,BUY,LIMIT,1,93723.3,0,99587.75
1767661169006000000,OKX,BTC-USDT,28,69da771dG7627539949767622684,BUY,LIMIT,1,93768.8,0,99633.2
1767661288006000000,OKX,BTC-USDT,29,69da771dG7627539949767622685,SELL,LIMIT,1,93878.3,132.25,99852.35
1767661414106000000,OKX,BTC-USDT,30,69da771dG7627539949767622686,SELL,LIMIT,1,93852,105.95,99826
1767661548306000000,OKX,BTC-USDT,31,69da771dG7627539949767622687,BUY,LIMIT,1,93805.9,0,99825.95
1767661679406000000,OKX,BTC-USDT,32,69da771dG7627539949767622688,BUY,LIMIT,1,93800.1,0,99820.1
1767661803826000000,OKX,BTC-USDT,33,69da771dG7627539949767622689,BUY,LIMIT,1,93823.7,0,99867.25
1767661932726000000,OKX,BTC-USDT,34,69da771dG7627539949767622690,BUY,LIMIT,1,93864.8,0,99990.5
1767662092606000000,OKX,BTC-USDT,35,69da771dG7627539949767622691,SELL,LIMIT,1,93877.2,53.575,100040.45
1767662225206000000,OKX,BTC-USDT,36,69da771dG7627539949767622692,SELL,LIMIT,1,93839.5,15.875,99927.3
1767662351806000000,OKX,BTC-USDT,37,69da771dG7627539949767622693,BUY,LIMIT,1,93900.7,0,100049.45
1767662481006000000,OKX,BTC-USDT,38,69da771dG7627539949767622694,BUY,LIMIT,1,93972.3,0,100264.2
1767662609306000000,OKX,BTC-USDT,39,69da771dG7627539949767622695,BUY,LIMIT,1,93926.2,0,100079.25
1767662744604000000,OKX,BTC-USDT,40,69da771dG7627539949767622696,SELL,LIMIT,1,93925.2,35.91,100075.2
1767662871804000000,OKX,BTC-USDT,41,69da771dG7627539949767622697,SELL,LIMIT,1,93915,25.71,100034.35
1767663000704000000,OKX,BTC-USDT,42,69da771dG7627539949767622698,SELL,LIMIT,1,94070.2,180.91,100499.9
1767663128204000000,OKX,BTC-USDT,43,69da771dG7627539949767622699,BUY,LIMIT,1,94050,0,100439.75
1767663254704000000,OKX,BTC-USDT,44,69da771dG7627539949767622700,SELL,LIMIT,1,93978.8,35.94,100245.9
1767663379604000000,OKX,BTC-USDT,45,69da771dG7627539949767622701,SELL,LIMIT,1,93981.1,38.24,100250.45
1767663513004000000,OKX,BTC-USDT,46,69da771dG7627539949767622702,SELL,LIMIT,1,93939.8,-3.06,100209.1
1767663653904000000,OKX,BTC-USDT,47,69da771dG7627539949767622703,SELL,LIMIT,1,93905.2,0,100198.85
1767663781104000000,OKX,BTC-USDT,48,69da771dG7627539949767622704,SELL,LIMIT,1,93850.3,0,100263.9
1767663909804000000,OKX,BTC-USDT,49,69da771dG7627539949767622705,BUY,LIMIT,1,93808.7,69.05,100347.25
1767664043904000000,OKX,BTC-USDT,50,69da771dG7627539949767622706,BUY,LIMIT,1,93920,-42.25,100235.9
1767664187404000000,OKX,BTC-USDT,51,69da771dG7627539949767622707,SELL,LIMIT,1,93813.8,0,100234.95
1767664315104000000,OKX,BTC-USDT,52,69da771dG7627539949767622708,BUY,LIMIT,1,93742.4,71.4,100307.3
1767664441804000000,OKX,BTC-USDT,53,69da771dG7627539949767622709,SELL,LIMIT,1,93727,0,100307.25
1767664565404000000,OKX,BTC-USDT,54,69da771dG7627539949767622710,SELL,LIMIT,1,93703.9,0,100330.3
1767664742704000000,OKX,BTC-USDT,55,69da771dG7627539949767622711,SELL,LIMIT,1,93719.8,0,100298.45
